PROVINCE & DISTRICT,,PERCENTAGE OF CASES,
"",URBAN,RURAL,TOTAL
Home,29,59,50
Govt. Hospital/RHC/BHU,24,12,15
Private Hospital/Clinic,47,29,34
Other,0,0,0
Total,100,100,100
PERSON THAT ASSISTED WITH DELIVERY:,,,
Doctor,62,31,40
Nurse,6,6,6
midwife,4,5,5
TBA,6,11,10
Trained Dai/Dai,16,30,26
Family member/Neighbour/Friend,4,13,10
LHV,2,4,4
Other,0,1,1
Total,100,100,100
Punjab,,,
PLACE WHERE CHILD WAS DELIVERED:,,,
Home,31,56,49
Govt. Hospital/RHC/BHU,23,11,14
Private Hospital/Clinic,46,33,37
Other,0,0,0
Total,100,100,100
PERSON THAT ASSISTED WITH DELIVERY:,,,
Doctor,59,32,40
Nurse,8,8,8
midwife,4,6,5
TBA,4,8,7
Trained Dai/Dai,21,37,32
Family member/Neighbour/Friend,2,4,3
LHV,3,4,3
Other,0,1,1
Total,100,100,100
Home,6,24,13
Govt. Hospital/RHC/BHU,58,41,51
Private Hospital/Clinic,36,35,36
Other,0,0,0
Total,100,100,100
PERSON THAT ASSISTED WITH DELIVERY:,,,
Doctor,92,69,83
Nurse,2,0,1
midwife,0,4,2
TBA,0,0,0
Trained Dai/Dai,4,9,6
Family member/Neighbour/Friend,2,12,6
LHV,1,5,2
Other,0,2,1
Total,100,100,100
PROVINCE & DISTRICT,,PERCENTAGE OF CASES,
"",URBAN,RURAL,TOTAL
Home,51,59,57
Govt. Hospital/RHC/BHU,24,11,13
Private Hospital/Clinic,23,30,29
Other,1,1,1
Total,100,100,100
PERSON THAT ASSISTED WITH DELIVERY:,,,
Doctor,36,35,35
Nurse,3,1,1
midwife,20,15,16
TBA,7,5,5
Trained Dai/Dai,26,42,40
Family member/Neighbour/Friend,0,0,0
LHV,8,1,2
Other,1,1,1
Total,100,100,100
Bahawalpur,,,
PLACE WHERE CHILD WAS DELIVERED:,,,
Home,43,71,64
Govt. Hospital/RHC/BHU,19,9,12
Private Hospital/Clinic,38,19,24
Other,0,0,0
Total,100,100,100
PERSON THAT ASSISTED WITH DELIVERY:,,,
